order_id,order_date,online_order,customer_id,store_id,sales_person_id,billtoaddressid,shiptoaddressid,subtotal,taxamt,freight,totaldue,created_at
43686,2011-05-31 00:00:00,f,29606,574,283,871,871,3463.2998,332.4768,103.899,3899.6756,2011-06-07 00:00:00
43687,2011-05-31 00:00:00,f,29610,584,275,783,783,1258.3767,120.8042,37.7513,1416.9322,2011-06-07 00:00:00
43688,2011-05-31 00:00:00,f,29718,820,275,771,771,12718.0844,1222.8838,382.1512,14323.1194,2011-06-07 00:00:00
43689,2011-05-31 00:00:00,f,29646,662,277,578,578,33997.3702,3271.4942,1022.3419,38291.2063,2011-06-07 00:00:00
43690,2011-05-31 00:00:00,f,29533,392,275,801,801,1297.5901,124.2027,38.8133,1460.6061,2011-06-07 00:00:00
43691,2011-05-31 00:00:00,f,29570,496,277,592,592,874.794,83.9802,26.2438,985.018,2011-06-07 00:00:00
43692,2011-05-31 00:00:00,f,29992,1414,281,1024,1024,38510.8973,3696.3979,1155.1244,43362.4196,2011-06-07 00:00:00
43693,2011-05-31 00:00:00,f,29491,306,275,807,807,20541.4072,1969.5564,615.4864,23126.45,2011-06-07 00:00:00
43694,2011-05-31 00:00:00,f,29549,440,279,943,943,20645.634,1978.3257,618.2268,23242.1865,2011-06-07 00:00:00
43695,2011-05-31 00:00:00,f,29958,1338,279,911,911,39373.781,3787.4632,1183.5823,44344.8265,2011-06-07 00:00:00
43696,2011-05-31 00:00:00,f,29849,1096,279,977,977,419.4589,40.2681,12.5838,472.3108,2011-06-07 00:00:00
43697,2011-05-31 00:00:00,t,21768,0,0,23148,23148,3578.27,286.2616,89.4568,3953.9884,2011-06-07 00:00:00
43698,2011-05-31 00:00:00,t,28389,0,0,24593,24593,3399.99,271.9992,84.9998,3756.989,2011-06-07 00:00:00
43699,2011-05-31 00:00:00,t,25863,0,0,19613,19613,3399.99,271.9992,84.9998,3756.989,2011-06-07 00:00:00
43700,2011-05-31 00:00:00,t,14501,0,0,20278,20278,699.0982,55.9279,17.4775,772.5036,2011-06-07 00:00:00
43701,2011-05-31 00:00:00,t,11003,0,0,20425,20425,3399.99,271.9992,84.9998,3756.989,2011-06-07 00:00:00
43702,2011-06-01 00:00:00,t,27645,0,0,22584,22584,3578.27,286.2616,89.4568,3953.9884,2011-06-08 00:00:00
43703,2011-06-01 00:00:00,t,16624,0,0,23967,23967,3578.27,286.2616,89.4568,3953.9884,2011-06-08 00:00:00
43704,2011-06-01 00:00:00,t,11005,0,0,16025,16025,3374.99,269.9992,84.3748,3729.364,2011-06-08 00:00:00
43705,2011-06-01 00:00:00,t,11011,0,0,27345,27345,3399.99,271.9992,84.9998,3756.989,2011-06-08 00:00:00
43706,2011-06-02 00:00:00,t,27621,0,0,13264,13264,3578.27,286.2616,89.4568,3953.9884,2011-06-09 00:00:00
43707,2011-06-02 00:00:00,t,27616,0,0,20923,20923,3578.27,286.2616,89.4568,3953.9884,2011-06-09 00:00:00
43708,2011-06-02 00:00:00,t,20042,0,0,18427,18427,699.0982,55.9279,17.4775,772.5036,2011-06-09 00:00:00
43709,2011-06-02 00:00:00,t,16351,0,0,13951,13951,3578.27,286.2616,89.4568,3953.9884,2011-06-09 00:00:00
43710,2011-06-02 00:00:00,t,16517,0,0,25446,25446,3578.27,286.2616,89.4568,3953.9884,2011-06-09 00:00:00
43711,2011-06-03 00:00:00,t,27606,0,0,18404,18404,3578.27,286.2616,89.4568,3953.9884,2011-06-10 00:00:00
43712,2011-06-03 00:00:00,t,13513,0,0,21867,21867,3578.27,286.2616,89.4568,3953.9884,2011-06-10 00:00:00
43713,2011-06-04 00:00:00,t,27601,0,0,11855,11855,3578.27,286.2616,89.4568,3953.9884,2011-06-11 00:00:00
43714,2011-06-04 00:00:00,t,13591,0,0,15169,15169,3578.27,286.2616,89.4568,3953.9884,2011-06-11 00:00:00
43715,2011-06-04 00:00:00,t,16483,0,0,28213,28213,3578.27,286.2616,89.4568,3953.9884,2011-06-11 00:00:00
43716,2011-06-04 00:00:00,t,16529,0,0,23557,23557,3578.27,286.2616,89.4568,3953.9884,2011-06-11 00:00:00
43717,2011-06-04 00:00:00,t,25249,0,0,11809,11809,699.0982,55.9279,17.4775,772.5036,2011-06-11 00:00:00
43718,2011-06-05 00:00:00,t,27668,0,0,25346,25346,3578.27,286.2616,89.4568,3953.9884,2011-06-12 00:00:00
43719,2011-06-05 00:00:00,t,27612,0,0,13854,13854,3578.27,286.2616,89.4568,3953.9884,2011-06-12 00:00:00
43720,2011-06-05 00:00:00,t,13264,0,0,18584,18584,3578.27,286.2616,89.4568,3953.9884,2011-06-12 00:00:00
43721,2011-06-05 00:00:00,t,13590,0,0,22146,22146,3578.27,286.2616,89.4568,3953.9884,2011-06-12 00:00:00
43722,2011-06-06 00:00:00,t,13581,0,0,23990,23990,3578.27,286.2616,89.4568,3953.9884,2011-06-13 00:00:00
43723,2011-06-06 00:00:00,t,14520,0,0,12708,12708,699.0982,55.9279,17.4775,772.5036,2011-06-13 00:00:00
43724,2011-06-06 00:00:00,t,16520,0,0,25572,25572,3578.27,286.2616,89.4568,3953.9884,2011-06-13 00:00:00
43725,2011-06-07 00:00:00,t,13258,0,0,23444,23444,3578.27,286.2616,89.4568,3953.9884,2011-06-14 00:00:00
43726,2011-06-07 00:00:00,t,14560,0,0,25989,25989,699.0982,55.9279,17.4775,772.5036,2011-06-14 00:00:00
43727,2011-06-07 00:00:00,t,16607,0,0,15502,15502,3578.27,286.2616,89.4568,3953.9884,2011-06-14 00:00:00
43728,2011-06-08 00:00:00,t,27666,0,0,20616,20616,3578.27,286.2616,89.4568,3953.9884,2011-06-15 00:00:00
43729,2011-06-08 00:00:00,t,11238,0,0,12420,12420,3399.99,271.9992,84.9998,3756.989,2011-06-15 00:00:00
43730,2011-06-08 00:00:00,t,25861,0,0,23733,23733,3399.99,271.9992,84.9998,3756.989,2011-06-15 00:00:00
43731,2011-06-08 00:00:00,t,16629,0,0,14019,14019,3578.27,286.2616,89.4568,3953.9884,2011-06-15 00:00:00
43732,2011-06-08 00:00:00,t,11025,0,0,21635,21635,3374.99,269.9992,84.3748,3729.364,2011-06-15 00:00:00
43733,2011-06-08 00:00:00,t,27577,0,0,24572,24572,3578.27,286.2616,89.4568,3953.9884,2011-06-15 00:00:00
43734,2011-06-09 00:00:00,t,27604,0,0,23224,23224,3578.27,286.2616,89.4568,3953.9884,2011-06-16 00:00:00
43735,2011-06-09 00:00:00,t,16522,0,0,25384,25384,3578.27,286.2616,89.4568,3953.9884,2011-06-16 00:00:00
43736,2011-06-09 00:00:00,t,11002,0,0,20336,20336,3399.99,271.9992,84.9998,3756.989,2011-06-16 00:00:00
43737,2011-06-10 00:00:00,t,13261,0,0,29772,29772,3578.27,286.2616,89.4568,3953.9884,2011-06-17 00:00:00
43738,2011-06-10 00:00:00,t,11606,0,0,26167,26167,3578.27,286.2616,89.4568,3953.9884,2011-06-17 00:00:00
43739,2011-06-10 00:00:00,t,13563,0,0,29262,29262,3578.27,286.2616,89.4568,3953.9884,2011-06-17 00:00:00
43740,2011-06-10 00:00:00,t,16527,0,0,28420,28420,3578.27,286.2616,89.4568,3953.9884,2011-06-17 00:00:00
43741,2011-06-11 00:00:00,t,27671,0,0,13036,13036,3578.27,286.2616,89.4568,3953.9884,2011-06-18 00:00:00
43742,2011-06-11 00:00:00,t,13576,0,0,20966,20966,3578.27,286.2616,89.4568,3953.9884,2011-06-18 00:00:00
43743,2011-06-11 00:00:00,t,11007,0,0,12909,12909,3399.99,271.9992,84.9998,3756.989,2011-06-18 00:00:00
43744,2011-06-11 00:00:00,t,16631,0,0,12423,12423,3578.27,286.2616,89.4568,3953.9884,2011-06-18 00:00:00
43745,2011-06-12 00:00:00,t,16514,0,0,25018,25018,3578.27,286.2616,89.4568,3953.9884,2011-06-19 00:00:00
43746,2011-06-12 00:00:00,t,16616,0,0,28214,28214,3578.27,286.2616,89.4568,3953.9884,2011-06-19 00:00:00
43747,2011-06-13 00:00:00,t,27623,0,0,27241,27241,3578.27,286.2616,89.4568,3953.9884,2011-06-20 00:00:00
43748,2011-06-13 00:00:00,t,27625,0,0,16663,16663,3578.27,286.2616,89.4568,3953.9884,2011-06-20 00:00:00
43749,2011-06-13 00:00:00,t,27636,0,0,17878,17878,3578.27,286.2616,89.4568,3953.9884,2011-06-20 00:00:00
43750,2011-06-13 00:00:00,t,11591,0,0,26694,26694,3578.27,286.2616,89.4568,3953.9884,2011-06-20 00:00:00
43751,2011-06-13 00:00:00,t,11592,0,0,17421,17421,3578.27,286.2616,89.4568,3953.9884,2011-06-20 00:00:00
43752,2011-06-13 00:00:00,t,13265,0,0,25970,25970,3578.27,286.2616,89.4568,3953.9884,2011-06-20 00:00:00
43753,2011-06-13 00:00:00,t,16482,0,0,19434,19434,3578.27,286.2616,89.4568,3953.9884,2011-06-20 00:00:00
43754,2011-06-14 00:00:00,t,27617,0,0,18700,18700,3578.27,286.2616,89.4568,3953.9884,2011-06-21 00:00:00
43755,2011-06-14 00:00:00,t,27670,0,0,21785,21785,3578.27,286.2616,89.4568,3953.9884,2011-06-21 00:00:00
43756,2011-06-14 00:00:00,t,19941,0,0,12565,12565,699.0982,55.9279,17.4775,772.5036,2011-06-21 00:00:00
43757,2011-06-14 00:00:00,t,11017,0,0,11541,11541,3374.99,269.9992,84.3748,3729.364,2011-06-21 00:00:00
43758,2011-06-15 00:00:00,t,27646,0,0,14400,14400,3578.27,286.2616,89.4568,3953.9884,2011-06-22 00:00:00
43759,2011-06-15 00:00:00,t,13257,0,0,21516,21516,3578.27,286.2616,89.4568,3953.9884,2011-06-22 00:00:00
43760,2011-06-15 00:00:00,t,16352,0,0,11694,11694,3578.27,286.2616,89.4568,3953.9884,2011-06-22 00:00:00
43761,2011-06-15 00:00:00,t,16493,0,0,24449,24449,3578.27,286.2616,89.4568,3953.9884,2011-06-22 00:00:00
43762,2011-06-16 00:00:00,t,27578,0,0,19011,19011,3578.27,286.2616,89.4568,3953.9884,2011-06-23 00:00:00
43763,2011-06-16 00:00:00,t,16525,0,0,13961,13961,3578.27,286.2616,89.4568,3953.9884,2011-06-23 00:00:00
43764,2011-06-16 00:00:00,t,16612,0,0,18740,18740,3578.27,286.2616,89.4568,3953.9884,2011-06-23 00:00:00
43765,2011-06-16 00:00:00,t,11010,0,0,15412,15412,3399.99,271.9992,84.9998,3756.989,2011-06-23 00:00:00
43766,2011-06-17 00:00:00,t,16518,0,0,26446,26446,3578.27,286.2616,89.4568,3953.9884,2011-06-24 00:00:00
43767,2011-06-17 00:00:00,t,11001,0,0,14489,14489,3374.99,269.9992,84.3748,3729.364,2011-06-24 00:00:00
43768,2011-06-18 00:00:00,t,27649,0,0,24209,24209,3578.27,286.2616,89.4568,3953.9884,2011-06-25 00:00:00
43769,2011-06-18 00:00:00,t,21659,0,0,12365,12365,3578.27,286.2616,89.4568,3953.9884,2011-06-25 00:00:00
43770,2011-06-18 00:00:00,t,27614,0,0,21039,21039,3578.27,286.2616,89.4568,3953.9884,2011-06-25 00:00:00
43771,2011-06-18 00:00:00,t,14559,0,0,21657,21657,699.0982,55.9279,17.4775,772.5036,2011-06-25 00:00:00
43772,2011-06-18 00:00:00,t,16524,0,0,15700,15700,3578.27,286.2616,89.4568,3953.9884,2011-06-25 00:00:00
43773,2011-06-18 00:00:00,t,16526,0,0,19998,19998,3578.27,286.2616,89.4568,3953.9884,2011-06-25 00:00:00
43774,2011-06-18 00:00:00,t,16348,0,0,20184,20184,3578.27,286.2616,89.4568,3953.9884,2011-06-25 00:00:00
43775,2011-06-18 00:00:00,t,11027,0,0,14561,14561,3399.99,271.9992,84.9998,3756.989,2011-06-25 00:00:00
43776,2011-06-19 00:00:00,t,13260,0,0,15402,15402,3578.27,286.2616,89.4568,3953.9884,2011-06-26 00:00:00
43777,2011-06-19 00:00:00,t,16515,0,0,24873,24873,3578.27,286.2616,89.4568,3953.9884,2011-06-26 00:00:00
43778,2011-06-19 00:00:00,t,11018,0,0,16433,16433,3399.99,271.9992,84.9998,3756.989,2011-06-26 00:00:00
43779,2011-06-19 00:00:00,t,25252,0,0,20850,20850,699.0982,55.9279,17.4775,772.5036,2011-06-26 00:00:00
43780,2011-06-20 00:00:00,t,11599,0,0,25850,25850,3578.27,286.2616,89.4568,3953.9884,2011-06-27 00:00:00
43781,2011-06-20 00:00:00,t,16495,0,0,22857,22857,3578.27,286.2616,89.4568,3953.9884,2011-06-27 00:00:00
43782,2011-06-20 00:00:00,t,16516,0,0,13386,13386,3578.27,286.2616,89.4568,3953.9884,2011-06-27 00:00:00
43783,2011-06-20 00:00:00,t,16620,0,0,26601,26601,3578.27,286.2616,89.4568,3953.9884,2011-06-27 00:00:00
43784,2011-06-21 00:00:00,t,27667,0,0,12491,12491,3578.27,286.2616,89.4568,3953.9884,2011-06-28 00:00:00
43785,2011-06-21 00:00:00,t,11601,0,0,17236,17236,3578.27,286.2616,89.4568,3953.9884,2011-06-28 00:00:00
43786,2011-06-21 00:00:00,t,11607,0,0,23683,23683,3578.27,286.2616,89.4568,3953.9884,2011-06-28 00:00:00
43787,2011-06-21 00:00:00,t,29385,0,0,29348,29348,3399.99,271.9992,84.9998,3756.989,2011-06-28 00:00:00
43788,2011-06-21 00:00:00,t,11239,0,0,25489,25489,3374.99,269.9992,84.3748,3729.364,2011-06-28 00:00:00
43789,2011-06-21 00:00:00,t,25865,0,0,21950,21950,3374.99,269.9992,84.3748,3729.364,2011-06-28 00:00:00
43790,2011-06-21 00:00:00,t,25857,0,0,21871,21871,3399.99,271.9992,84.9998,3756.989,2011-06-28 00:00:00
43791,2011-06-21 00:00:00,t,16484,0,0,11580,11580,3578.27,286.2616,89.4568,3953.9884,2011-06-28 00:00:00
43792,2011-06-21 00:00:00,t,16623,0,0,14105,14105,3578.27,286.2616,89.4568,3953.9884,2011-06-28 00:00:00
43793,2011-06-21 00:00:00,t,11000,0,0,22601,22601,3399.99,271.9992,84.9998,3756.989,2011-06-28 00:00:00
43794,2011-06-21 00:00:00,t,11029,0,0,24713,24713,3399.99,271.9992,84.9998,3756.989,2011-06-28 00:00:00
43795,2011-06-22 00:00:00,t,27615,0,0,12290,12290,3578.27,286.2616,89.4568,3953.9884,2011-06-29 00:00:00
43796,2011-06-22 00:00:00,t,17956,0,0,11860,11860,699.0982,55.9279,17.4775,772.5036,2011-06-29 00:00:00
43797,2011-06-22 00:00:00,t,16345,0,0,11578,11578,3578.27,286.2616,89.4568,3953.9884,2011-06-29 00:00:00
43798,2011-06-22 00:00:00,t,16521,0,0,17493,17493,3578.27,286.2616,89.4568,3953.9884,2011-06-29 00:00:00
43799,2011-06-22 00:00:00,t,16636,0,0,23813,23813,3578.27,286.2616,89.4568,3953.9884,2011-06-29 00:00:00
43800,2011-06-23 00:00:00,t,21710,0,0,16244,16244,3578.27,286.2616,89.4568,3953.9884,2011-06-30 00:00:00
43801,2011-06-23 00:00:00,t,13583,0,0,22676,22676,3578.27,286.2616,89.4568,3953.9884,2011-06-30 00:00:00
43802,2011-06-23 00:00:00,t,11593,0,0,15981,15981,3578.27,286.2616,89.4568,3953.9884,2011-06-30 00:00:00
43803,2011-06-24 00:00:00,t,21741,0,0,17092,17092,3578.27,286.2616,89.4568,3953.9884,2011-07-01 00:00:00
43804,2011-06-24 00:00:00,t,13585,0,0,18048,18048,3578.27,286.2616,89.4568,3953.9884,2011-07-01 00:00:00
43805,2011-06-24 00:00:00,t,14510,0,0,26084,26084,699.0982,55.9279,17.4775,772.5036,2011-07-01 00:00:00
43806,2011-06-24 00:00:00,t,16523,0,0,26735,26735,3578.27,286.2616,89.4568,3953.9884,2011-07-01 00:00:00
43807,2011-06-25 00:00:00,t,11611,0,0,15499,15499,3578.27,286.2616,89.4568,3953.9884,2011-07-02 00:00:00
43808,2011-06-25 00:00:00,t,13259,0,0,24940,24940,3578.27,286.2616,89.4568,3953.9884,2011-07-02 00:00:00
43809,2011-06-25 00:00:00,t,16350,0,0,12891,12891,3578.27,286.2616,89.4568,3953.9884,2011-07-02 00:00:00
43810,2011-06-25 00:00:00,t,11004,0,0,20971,20971,3399.99,271.9992,84.9998,3756.989,2011-07-02 00:00:00
43811,2011-06-25 00:00:00,t,11026,0,0,11877,11877,3399.99,271.9992,84.9998,3756.989,2011-07-02 00:00:00
43812,2011-06-26 00:00:00,t,27662,0,0,13852,13852,3578.27,286.2616,89.4568,3953.9884,2011-07-03 00:00:00
43813,2011-06-26 00:00:00,t,28390,0,0,16896,16896,3374.99,269.9992,84.3748,3729.364,2011-07-03 00:00:00
43814,2011-06-26 00:00:00,t,25866,0,0,21939,21939,3374.99,269.9992,84.3748,3729.364,2011-07-03 00:00:00
43815,2011-06-26 00:00:00,t,16494,0,0,15915,15915,3578.27,286.2616,89.4568,3953.9884,2011-07-03 00:00:00
43816,2011-06-26 00:00:00,t,16496,0,0,21277,21277,3578.27,286.2616,89.4568,3953.9884,2011-07-03 00:00:00
43817,2011-06-26 00:00:00,t,16519,0,0,12674,12674,3578.27,286.2616,89.4568,3953.9884,2011-07-03 00:00:00
43818,2011-06-26 00:00:00,t,16528,0,0,16539,16539,3578.27,286.2616,89.4568,3953.9884,2011-07-03 00:00:00
43819,2011-06-26 00:00:00,t,11006,0,0,15264,15264,3399.99,271.9992,84.9998,3756.989,2011-07-03 00:00:00
43820,2011-06-27 00:00:00,t,27651,0,0,24200,24200,3578.27,286.2616,89.4568,3953.9884,2011-07-04 00:00:00
43821,2011-06-27 00:00:00,t,27663,0,0,24836,24836,3578.27,286.2616,89.4568,3953.9884,2011-07-04 00:00:00
43822,2011-06-27 00:00:00,t,27669,0,0,20019,20019,3578.27,286.2616,89.4568,3953.9884,2011-07-04 00:00:00
43823,2011-06-27 00:00:00,t,19942,0,0,15988,15988,699.0982,55.9279,17.4775,772.5036,2011-07-04 00:00:00
43824,2011-06-27 00:00:00,t,14558,0,0,11804,11804,699.0982,55.9279,17.4775,772.5036,2011-07-04 00:00:00
43825,2011-06-27 00:00:00,t,16349,0,0,16955,16955,3578.27,286.2616,89.4568,3953.9884,2011-07-04 00:00:00
43826,2011-06-27 00:00:00,t,11008,0,0,23743,23743,3374.99,269.9992,84.3748,3729.364,2011-07-04 00:00:00
43827,2011-06-27 00:00:00,t,25250,0,0,27524,27524,699.0982,55.9279,17.4775,772.5036,2011-07-04 00:00:00
43828,2011-06-28 00:00:00,t,27605,0,0,13129,13129,3578.27,286.2616,89.4568,3953.9884,2011-07-05 00:00:00
43829,2011-06-28 00:00:00,t,27611,0,0,24776,24776,3578.27,286.2616,89.4568,3953.9884,2011-07-05 00:00:00
43830,2011-06-28 00:00:00,t,16347,0,0,18564,18564,3578.27,286.2616,89.4568,3953.9884,2011-07-05 00:00:00
43831,2011-06-28 00:00:00,t,11028,0,0,24158,24158,3374.99,269.9992,84.3748,3729.364,2011-07-05 00:00:00
43832,2011-06-28 00:00:00,t,13584,0,0,23837,23837,3578.27,286.2616,89.4568,3953.9884,2011-07-05 00:00:00
43833,2011-06-29 00:00:00,t,21727,0,0,16752,16752,3578.27,286.2616,89.4568,3953.9884,2011-07-06 00:00:00
43834,2011-06-29 00:00:00,t,28393,0,0,15471,15471,3374.99,269.9992,84.3748,3729.364,2011-07-06 00:00:00
43835,2011-06-29 00:00:00,t,19802,0,0,17401,17401,3374.99,269.9992,84.3748,3729.364,2011-07-06 00:00:00
43836,2011-06-29 00:00:00,t,26620,0,0,19261,19261,699.0982,55.9279,17.4775,772.5036,2011-07-06 00:00:00
43837,2011-06-29 00:00:00,t,11009,0,0,29335,29335,3374.99,269.9992,84.3748,3729.364,2011-07-06 00:00:00
43838,2011-06-30 00:00:00,t,27641,0,0,16330,16330,3578.27,286.2616,89.4568,3953.9884,2011-07-07 00:00:00
43839,2011-06-30 00:00:00,t,27673,0,0,20037,20037,3578.27,286.2616,89.4568,3953.9884,2011-07-07 00:00:00
43840,2011-06-30 00:00:00,t,17957,0,0,25544,25544,699.0982,55.9279,17.4775,772.5036,2011-07-07 00:00:00
43841,2011-06-30 00:00:00,t,13406,0,0,28149,28149,3578.27,286.2616,89.4568,3953.9884,2011-07-07 00:00:00
43842,2011-06-30 00:00:00,t,16630,0,0,18492,18492,3578.27,286.2616,89.4568,3953.9884,2011-07-07 00:00:00
43843,2011-07-01 00:00:00,f,29955,1332,275,756,756,32940.1556,3174.1988,991.9371,37106.2915,2011-07-08 00:00:00
43844,2011-07-01 00:00:00,f,29620,608,282,503,503,20249.94,1943.9942,607.4982,22801.4324,2011-07-08 00:00:00
43845,2011-07-01 00:00:00,f,29888,1182,279,930,930,8580.0739,823.6669,257.3959,9661.1367,2011-07-08 00:00:00
43846,2011-07-01 00:00:00,f,29548,438,278,498,498,919.5201,90.6637,28.3324,1038.5162,2011-07-08 00:00:00
43847,2011-07-01 00:00:00,f,29539,412,278,480,480,908.8209,86.9292,27.1654,1022.9155,2011-07-08 00:00:00
43848,2011-07-01 00:00:00,f,29717,818,283,851,851,18269.946,1753.9148,548.0984,20571.9592,2011-07-08 00:00:00
43849,2011-07-01 00:00:00,f,29818,1032,274,1104,1104,20544.7015,1969.9765,615.6177,23130.2957,2011-07-08 00:00:00
43850,2011-07-01 00:00:00,f,29892,1192,282,476,476,10183.7952,982.9377,307.168,11473.9009,2011-07-08 00:00:00
43851,2011-07-01 00:00:00,f,29509,344,275,816,816,6783.7679,651.4975,203.593,7638.8584,2011-07-08 00:00:00
43852,2011-07-01 00:00:00,f,29855,1112,282,539,539,2024.994,194.3994,60.7498,2280.1432,2011-07-08 00:00:00
43853,2011-07-01 00:00:00,f,29813,1022,282,446,446,26354.922,2530.0725,790.6477,29675.6422,2011-07-08 00:00:00
43854,2011-07-01 00:00:00,f,29988,1406,282,478,478,1749.588,167.9604,52.4876,1970.036,2011-07-08 00:00:00
43855,2011-07-01 00:00:00,f,29946,1312,278,462,462,10993.3516,1058.7224,330.8508,12382.9248,2011-07-08 00:00:00
43856,2011-07-01 00:00:00,f,29680,738,282,509,509,2036.394,195.3874,61.0586,2292.84,2011-07-08 00:00:00
43857,2011-07-01 00:00:00,f,30074,1896,282,534,534,7186.5371,689.052,215.3287,8090.9178,2011-07-08 00:00:00
43858,2011-07-01 00:00:00,f,29961,1344,275,758,758,13694.3494,1317.0672,411.5835,15423.0001,2011-07-08 00:00:00
43859,2011-07-01 00:00:00,f,29865,1134,276,1032,1032,3911.5991,375.2443,117.2639,4404.1073,2011-07-08 00:00:00
43860,2011-07-01 00:00:00,f,29773,934,280,832,832,10993.3942,1057.2843,330.4013,12381.0798,2011-07-08 00:00:00
43861,2011-07-01 00:00:00,f,29749,884,279,974,974,23401.1062,2244.4088,701.3777,26346.8927,2011-07-08 00:00:00
43862,2011-07-01 00:00:00,f,29945,1310,279,919,919,31000.7804,2987.8703,933.7095,34922.3602,2011-07-08 00:00:00
43863,2011-07-01 00:00:00,f,29764,914,277,611,611,1718.8983,164.9658,51.5518,1935.4159,2011-07-08 00:00:00
43864,2011-07-01 00:00:00,f,30056,1860,276,1052,1052,38474.3572,3703.8969,1157.4678,43335.7219,2011-07-08 00:00:00
43865,2011-07-01 00:00:00,f,30117,1992,277,596,596,13196.0548,1268.2589,396.3309,14860.6446,2011-07-08 00:00:00
43866,2011-07-01 00:00:00,f,29571,498,280,864,864,4076.388,391.2268,122.2584,4589.8732,2011-07-08 00:00:00
43867,2011-07-01 00:00:00,f,29582,522,280,848,848,32673.0446,3149.2911,984.1535,36806.4892,2011-07-08 00:00:00
43868,2011-07-01 00:00:00,f,30042,1828,282,523,523,2146.962,206.1084,64.4089,2417.4793,2011-07-08 00:00:00
43869,2011-07-01 00:00:00,f,30107,1970,276,1099,1099,49193.9864,4734.607,1479.5647,55408.1581,2011-07-08 00:00:00
43870,2011-07-01 00:00:00,f,29675,728,275,765,765,4316.9864,413.6232,129.2572,4859.8668,2011-07-08 00:00:00
43871,2011-07-01 00:00:00,f,30076,1900,281,1076,1076,9398.8972,899.949,281.2341,10580.0803,2011-07-08 00:00:00
43872,2011-07-01 00:00:00,f,30100,1956,276,1028,1028,11584.459,1110.9858,347.1831,13042.6279,2011-07-08 00:00:00
